timestamp,elapsed_seconds,step_id,step_state,requested_workers,running_workers,policy_state,yarn_memory_available_pct
2026-08-02T15:52:58Z,0,s-086104538O98U33Z6IED,PENDING,1,1,ATTACHED,100.0
2026-08-02T15:53:38Z,40,s-086104538O98U33Z6IED,PENDING,1,1,ATTACHED,100.0
2026-08-02T15:54:17Z,79,s-086104538O98U33Z6IED,RUNNING,1,1,ATTACHED,100.0
2026-08-02T15:54:57Z,119,s-086104538O98U33Z6IED,RUNNING,1,1,ATTACHED,100.0
2026-08-02T15:55:37Z,159,s-086104538O98U33Z6IED,RUNNING,1,1,ATTACHED,100.0
2026-08-02T15:56:17Z,199,s-086104538O98U33Z6IED,RUNNING,1,1,ATTACHED,100.0
2026-08-02T15:56:57Z,239,s-086104538O98U33Z6IED,RUNNING,1,1,ATTACHED,100.0
2026-08-02T15:57:37Z,279,s-086104538O98U33Z6IED,RUNNING,1,1,ATTACHED,100.0
2026-08-02T15:58:17Z,319,s-086104538O98U33Z6IED,RUNNING,1,1,ATTACHED,3.6458333333333335
2026-08-02T15:59:10Z,372,s-086104538O98U33Z6IED,RUNNING,1,1,ATTACHED,3.6458333333333335
2026-08-02T15:59:50Z,412,s-086104538O98U33Z6IED,RUNNING,1,1,ATTACHED,3.6458333333333335
2026-08-02T16:00:29Z,451,s-086104538O98U33Z6IED,RUNNING,2,1,ATTACHED,3.6458333333333335
2026-08-02T16:01:10Z,492,s-086104538O98U33Z6IED,COMPLETED,2,1,ATTACHED,3.6458333333333335
2026-08-02T16:01:50Z,532,s-086104538O98U33Z6IED,COMPLETED,2,1,ATTACHED,3.6458333333333335
2026-08-02T16:02:30Z,572,s-086104538O98U33Z6IED,COMPLETED,2,1,ATTACHED,3.6458333333333335
2026-08-02T16:03:09Z,611,s-086104538O98U33Z6IED,COMPLETED,2,2,ATTACHED,3.6458333333333335
2026-08-02T16:03:49Z,651,s-086104538O98U33Z6IED,COMPLETED,2,2,ATTACHED,3.6458333333333335
2026-08-02T16:04:30Z,692,s-086104538O98U33Z6IED,COMPLETED,2,2,ATTACHED,3.6458333333333335
2026-08-02T16:05:10Z,732,s-086104538O98U33Z6IED,COMPLETED,2,2,ATTACHED,3.6458333333333335
2026-08-02T16:05:49Z,771,s-086104538O98U33Z6IED,COMPLETED,2,2,ATTACHED,3.6458333333333335
2026-08-02T16:06:29Z,811,s-086104538O98U33Z6IED,COMPLETED,3,2,ATTACHED,3.6458333333333335
2026-08-02T16:07:10Z,852,s-086104538O98U33Z6IED,COMPLETED,3,2,ATTACHED,3.6458333333333335
2026-08-02T16:07:50Z,892,s-086104538O98U33Z6IED,COMPLETED,3,2,ATTACHED,3.6458333333333335
2026-08-02T16:11:28Z,1110,s-086104538O98U33Z6IED,COMPLETED,3,3,ATTACHED,100.0
2026-08-02T16:54:37Z,3699,s-086104538O98U33Z6IED,COMPLETED,1,1,ATTACHED,100.0
